marca;produto;desconto;preco
Apple;iPhone 11 64GB;R$ 1.213,52;R$ 1.379,00
Apple;iPhone 11 128GB;R$ 1.310,32;R$ 1.489,00
Samsung;Samsung Galaxy S22 5G 128GB;R$ 1.556,72;R$ 1.769,00
Samsung;Samsung Galaxy S21 FE 128GB;R$ 1.081,52;R$ 1.229,00
Samsung;Samsung Galaxy A12 64GB;R$ 439,12;R$ 499,00
Samsung;Samsung Galaxy S21 5G 128GB;R$ 1.292,72;R$ 1.469,00
Apple;iPhone XR 128GB;R$ 1.063,92;R$ 1.209,00
Apple;iPhone XR 64GB;R$ 1.160,72;R$ 1.319,00
Samsung;Samsung Galaxy S22 Ultra 5G 256GB;R$ 2.665,52;R$ 3.029,00
Apple;iPhone 13 128GB;R$ 2.683,12;R$ 3.049,00
Apple;iPhone 12 128GB;R$ 2.172,72;R$ 2.469,00
Apple;iPhone 12 64GB;R$ 1.891,12;R$ 2.149,00
Apple;iPhone 11 256GB;R$ 1.424,72;R$ 1.619,00
Samsung;Samsung Galaxy S23+ 5G 512GB;R$ 2.577,52;R$ 2.929,00
Samsung;Samsung Galaxy S22 5G 256GB;R$ 1.750,32;R$ 1.989,00
Samsung;Samsung Galaxy A10s 32 GB;R$ 386,32;R$ 439,00
Samsung;Samsung Galaxy S23 5G 128GB;R$ 2.128,72;R$ 2.419,00
Apple;iPhone 11 Pro Max 256GB;R$ 2.401,52;R$ 2.729,00
Samsung;Samsung Galaxy S23+ 5G 256GB;R$ 2.313,52;R$ 2.629,00
Samsung;Samsung Galaxy A10 32 GB;R$ 359,92;R$ 409,00
Apple;iPhone 13 256GB;R$ 2.911,92;R$ 3.309,00
Samsung;Samsung Galaxy A14 5G 128GB;R$ 694,32;R$ 789,00
Samsung;Samsung Galaxy S23 Ultra 5G 512GB;R$ 3.413,52;R$ 3.879,00
Apple;iPhone 8 Plus 64GB;R$ 870,32;R$ 989,00
Samsung;Samsung Galaxy A52s 5G 128GB;R$ 817,52;R$ 929,00
Samsung;Samsung Galaxy A54 5G 256GB;R$ 1.275,12;R$ 1.449,00
Apple;iPhone 11 Pro 256GB;R$ 2.225,52;R$ 2.529,00
Apple;iPhone 12 Mini 128GB;R$ 1.926,32;R$ 2.189,00
Samsung;Samsung Galaxy A13 128GB;R$ 632,72;R$ 719,00
Apple;iPhone 11 Pro Max 64GB;R$ 2.058,32;R$ 2.339,00
Apple;iPhone 12 256GB;R$ 2.454,32;R$ 2.789,00
Samsung;Samsung Galaxy S22+ 128GB;R$ 1.794,32;R$ 2.039,00
Apple;iPhone XS Max 64 GB;R$ 1.292,72;R$ 1.469,00
Samsung;Samsung Galaxy A54 5G 128GB;R$ 1.213,52;R$ 1.379,00
Apple;iPhone 12 Pro Max 128GB;R$ 3.008,72;R$ 3.419,00
Samsung;Samsung Galaxy S21+ 5G 128GB;R$ 1.178,32;R$ 1.339,00
Samsung;Samsung Galaxy A31 128GB;R$ 641,52;R$ 729,00
Samsung;Samsung Galaxy A32 128GB;R$ 659,12;R$ 749,00
Apple;iPhone 13 Mini 128GB;R$ 2.489,52;R$ 2.829,00
